id,filename,bucket,width,height,flags,headlineOverlapRatio,subtitleOverlapRatio,logoOverlapRatio,badgeOverlapRatio,safeTextScore,safeCoverage,safeAreaCoverage
Group 1,Group 1.png,core,320,324,,0.0011,0.0025,,0.0005,0.9345,1,0.4733
Group 4,Group 4.png,core,320,324,ambiguous,0,0.0012,0.0001,,0.9923,1,0.2929
Group 7,Group 7.png,core,320,324,ambiguous,0.0032,0.0062,0.0027,0,0.9602,1,0.3971
Group 8,Group 8.png,core,320,324,,0,0.0027,,0.003,0.9896,1,0.2254
Group 9,Group 9.png,core,320,324,,0.008,0.0007,,,0.9428,1,0.5484
Group 10,Group 10.png,core,320,324,ambiguous,0.0045,0.017,0.0001,0.0022,0.8798,0.4526,0.4974
Group 23,Group 23.png,core,272,272,ambiguous,0.0115,0.0102,0,,0.97,1,0.4138
Group 25,Group 25.png,core,272,272,,,,0,0,,,
Group 2,Group 2.png,stress,320,324,,0.0206,0.0022,,0,0.9848,1,0.8419
Group 3,Group 3.png,stress,320,324,,0,0.0428,,,0.9741,0.9495,0.6437
Group 5,Group 5.png,stress,320,324,ambiguous,0,,0.0001,,0.7807,0,0
Group 6,Group 6.png,stress,320,324,ambiguous,0.0127,0.0162,,,0.8934,1,0.6758
Group 11,Group 11.png,stress,203,203,,0.0043,0.0049,,,0.9596,1,0.8301
Group 12,Group 12.png,stress,203,203,,0.0019,,,,0.859,0,1
Group 13,Group 13.png,stress,203,203,,0,0.0023,,,0.986,1,0.4615
Group 14,Group 14.png,stress,203,203,,0.0019,,,,0.9662,1,1
Group 15,Group 15.png,stress,203,203,,0,,,,0.9324,1,0
Group 16,Group 16.png,stress,320,324,,0.0011,0.0025,,0.0005,0.9345,1,0.4733
Group 17,Group 17.png,stress,273,273,,0.0064,0,0,,0.9934,1,0.8242
Group 18,Group 18.png,stress,273,275,ambiguous,0.0487,,0,,0.823,0.3942,0.5104
Group 19,Group 19.png,stress,273,273,ambiguous,0.0074,0,0,,0.8789,1,0.6305
Group 20,Group 20.png,stress,442,442,ambiguous,0.0036,0.1527,0.0004,0.0179,0.9225,0.7774,0.7843
Group 21,Group 21.png,stress,442,442,ambiguous,0.019,0.0282,0.0077,0,0.8724,0.3527,0.8247
Group 22,Group 22.png,stress,272,272,,0.0486,,0,,0.7579,0,0.7353
Group 24,Group 24.png,stress,274,272,ambiguous,0.0241,,0,0.0029,0.9751,1,0.6505
